"ExtensionID","ExtensionName","Status","ChromeStoreURL"
"nnpnnpemnckcfdebeekibpiijlicmpom","VPNCity - Fast &amp; Unlimited VPN | Unblocker","Active","https://chrome.google.com/webstore/detail/nnpnnpemnckcfdebeekibpiijlicmpom"
"kkodiihpgodmdankclfibbiphjkfdenh","ParrotTalks抄筆記","Active","https://chrome.google.com/webstore/detail/kkodiihpgodmdankclfibbiphjkfdenh"
"oaikpkmjciadfpddlpjjdapglcihgdle","Uvoice","Active","https://chrome.google.com/webstore/detail/oaikpkmjciadfpddlpjjdapglcihgdle"
"dpggmcodlahmljkhlmpgpdcffdaoccni","Internxt VPN - Free, Encrypted &amp; Unlimited VPN","Active","https://chrome.google.com/webstore/detail/dpggmcodlahmljkhlmpgpdcffdaoccni"
"acmfnomgphggonodopogfbmkneepfgnh","Bookmark Favicon Changer","Active","https://chrome.google.com/webstore/detail/acmfnomgphggonodopogfbmkneepfgnh"
"mnhffkhmpnefgklngfmlndmkimimbphc","Castorus","Active","https://chrome.google.com/webstore/detail/mnhffkhmpnefgklngfmlndmkimimbphc"
"cedgndijpacnfbdggppddacngjfdkaca","WayinVideo - AI YouTube Summarizer &amp; Transcript Generator &amp; Moments","Active","https://chrome.google.com/webstore/detail/cedgndijpacnfbdggppddacngjfdkaca"
"bbdnohkpnbkdkmnkddobeafboooinpla","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/bbdnohkpnbkdkmnkddobeafboooinpla"
"egmennebgadmncfjafcemlecimkepcle","VidHelper - Video Download Helper","Active","https://chrome.google.com/webstore/detail/egmennebgadmncfjafcemlecimkepcle"
"bibjgkidgpfbblifamdlkdlhgihmfohh","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/bibjgkidgpfbblifamdlkdlhgihmfohh"
"befflofjcniongenjmbkgkoljhgliihe","TinaMind - The most powerful AI Assistant!","Active","https://chrome.google.com/webstore/detail/befflofjcniongenjmbkgkoljhgliihe"
"pkgciiiancapdlpcbppfkmeaieppikkk","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/pkgciiiancapdlpcbppfkmeaieppikkk"
"llimhhconnjiflfimocjggfjdlmlhblm","Reader Mode","Active","https://chrome.google.com/webstore/detail/llimhhconnjiflfimocjggfjdlmlhblm"
"oeiomhmbaapihbilkfkhmlajkeegnjhe","Primus","Active","https://chrome.google.com/webstore/detail/oeiomhmbaapihbilkfkhmlajkeegnjhe"
"ekpkdmohpdnebfedjjfklhpefgpgaaji","Tackker - online keylogger tool","Active","https://chrome.google.com/webstore/detail/ekpkdmohpdnebfedjjfklhpefgpgaaji"
"epikoohpebngmakjinphfiagogjcnddm","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/epikoohpebngmakjinphfiagogjcnddm"
"miglaibdlgminlepgeifekifakochlka","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/miglaibdlgminlepgeifekifakochlka"
"eanofdhdfbcalhflpbdipkjjkoimeeod","Rewards Search Automator","Active","https://chrome.google.com/webstore/detail/eanofdhdfbcalhflpbdipkjjkoimeeod"
"ogbhbgkiojdollpjbhbamafmedkeockb","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/ogbhbgkiojdollpjbhbamafmedkeockb"
"bgejafhieobnfpjlpcjjggoboebonfcg","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/bgejafhieobnfpjlpcjjggoboebonfcg"
"igbodamhgjohafcenbcljfegbipdfjpk","Keyboard History Recorder","Active","https://chrome.google.com/webstore/detail/igbodamhgjohafcenbcljfegbipdfjpk"
"mbindhfolmpijhodmgkloeeppmkhpmhc","Email Hunter","Active","https://chrome.google.com/webstore/detail/mbindhfolmpijhodmgkloeeppmkhpmhc"
"hodiladlefdpcbemnbbcpclbmknkiaem","Google Meet Enhanced Experience","Active","https://chrome.google.com/webstore/detail/hodiladlefdpcbemnbbcpclbmknkiaem"
"pajkjnmeojmbapicmbpliphjmcekeaac","Cyberhaven security extension V3","Active","https://chrome.google.com/webstore/detail/pajkjnmeojmbapicmbpliphjmcekeaac"
"ndlbedplllcgconngcnfmkadhokfaaln","GraphQL Network Inspector","Active","https://chrome.google.com/webstore/detail/ndlbedplllcgconngcnfmkadhokfaaln"
"epdjhgbipjpbbhoccdeipghoihibnfja","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/epdjhgbipjpbbhoccdeipghoihibnfja"
"cplhlgabfijoiabgkigdafklbhhdkahj","Vidnoz Flex - Video recorder &amp; Video share","Active","https://chrome.google.com/webstore/detail/cplhlgabfijoiabgkigdafklbhhdkahj"
"jiofmdifioeejeilfkpegipdjiopiekl","YesCaptcha assistant","Active","https://chrome.google.com/webstore/detail/jiofmdifioeejeilfkpegipdjiopiekl"
"hihblcmlaaademjlakdpicchbjnnnkbo","Proxy SwitchyOmega (V3)","Active","https://chrome.google.com/webstore/detail/hihblcmlaaademjlakdpicchbjnnnkbo"
"lbneaaedflankmgmfbmaplggbmjjmbae","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/lbneaaedflankmgmfbmaplggbmjjmbae"
"eaijffijbobmnonfhilihbejadplhddo","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/eaijffijbobmnonfhilihbejadplhddo"
"hmiaoahjllhfgebflooeeefeiafpkfde","Chrome Web Store","Active","https://chrome.google.com/webstore/detail/hmiaoahjllhfgebflooeeefeiafpkfde"
