"ExtensionID","ExtensionName","Status","ChromeStoreURL"
"lgnnkihpnbnifngajpnlgheppighgjgl","Bing Chat for All Browsers","Active","https://chrome.google.com/webstore/detail/lgnnkihpnbnifngajpnlgheppighgjgl"
"lifjpamfjcekmkaaagcmkhnjoifpcgga","Save for Instagram","Active","https://chrome.google.com/webstore/detail/lifjpamfjcekmkaaagcmkhnjoifpcgga"
"mhlimdngcoapeiclnpipknneeahhlido","Extension KineMaster for Chrome","Active","https://chrome.google.com/webstore/detail/mhlimdngcoapeiclnpipknneeahhlido"
"nbboeebkcbmofcppbbjbkmnbdnpkmcpl","Zara for Chrome","Active","https://chrome.google.com/webstore/detail/nbboeebkcbmofcppbbjbkmnbdnpkmcpl"
"ncammloaampoflcfebafbkaafikagjpi","InShot - Powerful all-in-one","Active","https://chrome.google.com/webstore/detail/ncammloaampoflcfebafbkaafikagjpi"
"nfadifbdnjaeelbcjpllmlegedjlgaob","YouTube Full Screen Video","Active","https://chrome.google.com/webstore/detail/nfadifbdnjaeelbcjpllmlegedjlgaob"
"nhlkodgllgofeknifhfbhinidlhpimcp","Filmora for Chrome | Photo &amp; V Editor","Active","https://chrome.google.com/webstore/detail/nhlkodgllgofeknifhfbhinidlhpimcp"
"njajnpniamhehlljdganpikbmgdnjjjc","Pandora Web Enhancer","Active","https://chrome.google.com/webstore/detail/njajnpniamhehlljdganpikbmgdnjjjc"
"ocdpjmmibmnajfkkbihijjnpcenffnao","Cap Cut Video Editor","Active","https://chrome.google.com/webstore/detail/ocdpjmmibmnajfkkbihijjnpcenffnao"
"ofgiijkcgodogbeidgbkmhjpajnapfkc","Extension Photo Lab Picture Editor &amp; Art","Active","https://chrome.google.com/webstore/detail/ofgiijkcgodogbeidgbkmhjpajnapfkc"
"dgfaekieonkobpaklglncjmjibbbpnod","Anime Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/dgfaekieonkobpaklglncjmjibbbpnod"
"blibecomdmpcndbgkinclhaokmaheild","KPop Demon Hunters Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/blibecomdmpcndbgkinclhaokmaheild"
"eenfkghojihnhnninifhndjilpibchki","Peanuts Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/eenfkghojihnhnninifhndjilpibchki"
"cembgjjgklolpjnbjmemmfmlkfmklood","Lilo &amp; Stitch Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/cembgjjgklolpjnbjmemmfmlkfmklood"
"eljclcigelmfnomncdefdkbgnbbilnel","Hello Kitty Cursor ♥ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/eljclcigelmfnomncdefdkbgnbbilnel"
"jddaakabhmcbgfnbkgcjfeigbnbcdjgn","BTS Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/jddaakabhmcbgfnbkgcjfeigbnbcdjgn"
"domdcfhmjfdchcegjmnjbioejdphmnio","Cinnamoroll Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/domdcfhmjfdchcegjmnjbioejdphmnio"
"nlppklcmgfgaploglaakimdlfgeinajj","Blue Lock Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/nlppklcmgfgaploglaakimdlfgeinajj"
"pahlnbfkogncdbkaeaamcmpmhjecicmh","Capybara Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/pahlnbfkogncdbkaeaamcmpmhjecicmh"
"enemknlfbkchplbhdflblafnpfmgdpib","My Hero Academia Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/enemknlfbkchplbhdflblafnpfmgdpib"
"aobjbhiaoljpdpeappmepnhdhklkijjp","Cat Cursor ♥ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/aobjbhiaoljpdpeappmepnhdhklkijjp"
"ldonikoaoafdiccjpkpcgplphedemnma","Pochacco Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/ldonikoaoafdiccjpkpcgplphedemnma"
"midamgpdhbehjnjchnegghbhnpkcljmd","Chiikawa Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/midamgpdhbehjnjchnegghbhnpkcljmd"
"lcahlhmejfgofgednancmbfmflaoihld","Jujutsu Kaisen Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/lcahlhmejfgofgednancmbfmflaoihld"
"gpacldldkpfobgbdabaollodfoilfela","Pokemon Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/gpacldldkpfobgbdabaollodfoilfela"
"jfliobjbgdclhcjgpgimckaijlcbkmdk","Haikyuu Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/jfliobjbgdclhcjgpgimckaijlcbkmdk"
"dobjkkoopofegeinkiepblgidnigchoo","Preppy Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/dobjkkoopofegeinkiepblgidnigchoo"
"nichemncnkkplpkgpndnnedokokhoeam","Pusheen Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/nichemncnkkplpkgpndnnedokokhoeam"
"elfcaiclmhkioadcpikkonlnanaakmem","Solo Leveling Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/elfcaiclmhkioadcpikkonlnanaakmem"
"ahofgjkfjljcliehioeefaanagffnffa","Star Wars Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/ahofgjkfjljcliehioeefaanagffnffa"
"pmlcfgndjofkkpimdenhpkmdbmnbfend","Sonic the Hedgehog Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/pmlcfgndjofkkpimdenhpkmdbmnbfend"
"fkbjmjplmceabidmaloaffkmanglpfoe","Soccer Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/fkbjmjplmceabidmaloaffkmanglpfoe"
"gkbilebmkjlflcijbecemkmgkhnenakm","Brawl Stars Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/gkbilebmkjlflcijbecemkmgkhnenakm"
"caeneogdipddninidgnoamjaglmmlmoo","Dandadan Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/caeneogdipddninidgnoamjaglmmlmoo"
